No;Judul;Penulis;Genre;Sinopsis;URL Sumber;;;;;;
29;SENSUALITY;marklee_mell;"Romansa, Thriller, Komedi";"
Putus asa akan masalah hidupnya membuatnya memilih jalan pintas. Mengakhiri hidup agar beban yang Ia tanggung hilang dalam sekejap. 

Motor kesayangannya Ia kendarai dengan kecepatan penuh hingga tabrakan keras dengan mobil besar tak bisa terhindarkan. 

Ia kira dirinya telah mati di tempat. Ia kira dirimu telah berada di neraka atau surga meskipun Ia tau itu mustahil. 
Tapi setelah Ia membuka mata, yang Ia lihat adalah cahaya lampu lalu seorang gadis yang tertidur pulas di sampingnya. 

Hidupnya kembali berjalan setelah tabrakan hebat yang Ia kira akan merenggut nyawanya. Apalagi dirinya malah di tugaskan untuk mengawasi gadis itu 24 jam penuh. Lucu sekali.";https://www.wattpad.com/story/386479271-sensuality;;;;;;S
30;Dangerous Adopted Brother;Nurul782;"Romansa, Fantasi";"Didalam novel ""My Aurabelle"". Luan Cassian Emerick adalah anak seorang pembisnis yang dibunuh oleh adiknya sendiri karna perebutan kekuasaan. Sejak bayi dia dititipkan oleh Ibunya disebuah panti asuhan lalu ketika dia berusia lima tahun. Seorang Dokter bernama Harvey menemukannya dalam keadaan yang sungguh memprihatinkan. Tubuhnya yang kurus dan penuh lebam. Karna rasa kasihan Luan diangkat menjadi anak Dokter Harvey itu.

Sejak kecil Luan selalu diperlakukan kasar oleh anak dari sang Dokter yang bernama Thanisa Sofia Harvey. Dia diam-diam disiksa oleh gadis itu karna dia merasa jika Luan adalah anak haram dari sang ayah. Thanisa juga harus kehilangan ibunya, menambah rasa tidak sukanya kepada Luan.

Luan tumbuh menjadi sosok yang berhati dingin. Dia tidak kenal rasa kasihan dalam menyiksa musuhnya. Hingga semua perlahan berubah ketika dia bertemu protagonis wanita bernama Aurabelle Evrin, anak angkat dari keluarga pengacara Ervin.

Luan menjadi pengusaha besar penuh koneksi dan membunuh orang-orang yang telah menyiksanya terutama mantan kakaknya yaitu Thanisa dan novelnya pun mencapai ending.

Itulah versi novel yang dibaca oleh Jihan. Hidupnya yang biasa saja  seketika berubah ketika dia bangun menjadi anak kecil bernama Thanisa Sofia Harvey. 

Oke, Thanisa yang berjiwa Jihan ini akan menyayangi Luan. Dia tidak akan menyiksanya agar Luan tidak membunuhnya nanti. Dia akan merawatnya hingga Luan bertemu Aurabelle dan setelahnya Thanisa akan hidup mandiri, menikah dengan pria biasa dan hidup bahagia.

Bisakah Thanisa mengabulkan keinginannya disaat Luan tidak akan membiarkan hal itu terjadi.";https://www.wattpad.com/story/398835447-dangerous-adopted-brother;;;;;;
31;UNDER THE TRIGGER;herzerave;"Romansa, Mafia, Aksi";"Yang Aracelia tahu tentang Etgar Moore, dia hanyalah seorang pengawal biasa dari The Trigger. Sebuah organisasi gelap. Atas perintah Ayahnya, mereka dijodohkan. 

Ara tahu Etgar menolak perjodohan itu walaupun dia tetap melakukannya, tapi Ara sama sekali tidak menyangka. Etgar pergi setelah malam pertama mereka. 

Menghilang. 

Namun, setelah dua tahun, Etgar kembali. Dia berubah, tidak hanya tubuh dan sikapnya. Dia bukan lagi hanya seorang pengawal biasa, lebih berkuasa di bandingkan sebelumnya. 

Siapa Etgar Moore yang sekarang?

Mengapa tiba-tiba dia ingin memiliki Ara sepenuhnya?";https://www.wattpad.com/story/361738367-under-the-trigger;;;;;;
32;Mayat Tanpa Identitas;Ramdan_Nahdi;"Thriller, Horor, Misteri";"Ada kepercayaan di Fakultas Kedokteran, untuk tidak membawa produk olahan susu saat akan praktikum anatomi. Karena, bisa mendapatkan sial saat berhadapan dengan kadaver. 

Salah satu anggota kelompok Naura dengan sengaja membawa produk olahan susu sebelum praktikum anatomi. Alhasil, Naura dan teman sekelompoknya harus berhadapan dengan kadaver yang punya banyak kejanggalan.

Kejanggalan yang akan membawa Naura dan teman-teman pada teror yang menakutkan dan mengancam nyawa. Bagaimana Naura dan teman-temannya menghadapi sosok yang seharusnya tidak boleh kembali?";https://www.wattpad.com/story/342435210-mayat-tanpa-identitas;;;;;;
33;Mission: Save My Boss!;leyaarch;"Humor, Romansa, Komedi";"Jadi pewaris kaya raya? Sudah biasa.
Tapi Naomi Zepharyne Almarendra punya mimpi yang lebih personal, yaitu menikah dengan pria pilihan sendiri, bukan yang tertarik pada hartanya.

Caranya? Menyamar dan magang diam-diam di kantor orang lain, jauh dari bayang-bayang nama besar keluarga.

Sayangnya, semua menjadi rumit saat bosnya ternyata adalah Jazkiel Rei Amakasu. CEO muda yang menyebalkan, dan ... punya pacar toxic yang dulu pernah merebut kekasih Naomi.

Antara menyelamatkan hati orang lain atau menjaga hatinya sendiri, Naomi mulai sadar, mencari cinta tulus ternyata jauh lebih rumit daripada jadi penerus imperium keluarga.";https://www.wattpad.com/story/399343806-mission-save-my-boss;;;;;;
34;Shadow in the Lab;imfayaa__;"Romansa, Misteri, Thriller, Fantasi";"Sebagai anak magang di laboratorium penelitian mutakhir, Selene tahu pekerjaannya tidak akan mudah. Tapi dia tidak pernah menyangka harus berhadapan dengan Axel-vampir berbahaya yang dikurung dengan rantai berat, tatapannya tajam dan penuh kejengkelan.

""Nah, manusia lain."" Suaranya datar sebelum dia memutar mata, seolah keberadaan Selene hanyalah gangguan kecil dalam hari-harinya yang panjang.

Ilmuwan disini ingin memahami kekuatannya, mengungkap misteri yang membuatnya berbeda. Tapi Selene? Dia hanya ingin menemukan cara agar bisa bertahan... dan mungkin, mendekatinya tanpa menjadi target berikutnya.";https://www.wattpad.com/story/391059716-shadow-in-the-lab;;;;;;
35;Upil Yang Jatuh Tak Pernah Membenci Jari Kelingking;kaminarikyo;"Thriller, Horor, Fantasi, Misteri, Romansa";"
Orang bilang cinta itu tidak mengenal usia. Tidak memandang suku bangsa ataupun warna kulit. Cinta itu tumbuh di dalam hati dengan sendirinya, tanpa bisa dihindari ataupun ditolak.

Kyo pertama kali bertemu dengan Renata (Ren) ketika berada di sebuah taman. Atas kemurahan hati Ren, Kyo tinggal di apartemen milik Ren semenjak hari itu.

Hari demi hari bergulir tanpa terasa. Begitu juga benih-benih cinta yang mulai tumbuh subur di hati mereka masing-masing. Namun, kisah cinta tidak selalu membentangkan jalan yang mulus. Usia mereka yang terpaut jauh menjadi salah satu masalah. Ditambah lagi dengan hadirnya seseorang di antara mereka.

Ini bukanlah cerita sedih antara Kyo dan Ren. Juga bukan kisah cinta segitiga yang menyesakkan dada setiap orang yang membacanya. Lebih dari semua itu, cerita ini, akan membuatmu menangis dan tertawa di saat bersamaan. Membuatmu tercenung saat kamu berhasil memahami... apa arti sesungguhnya dari mengikhlaskan.";https://www.wattpad.com/story/197346396-upil-yang-jatuh-tak-pernah-membenci-jari;;;;;;
36;Kedhaton Hadiningrat ^ Revisi;TyalisPrameswari;"Horor, Romansa, Fantasi";"Serena lahir di Kota Soeraandaru Jasmijn, ketika usianya menginjak 6 tahun dia sekeluarga pindah ke luar kota. Kedua orang tua Serena waktu itu memiliki pekerjaan di luar kota yang tidak memungkinkan untuk pulang pergi. Sejak saat itu Serena hanya sesekali kembali ke tanah kelahirannya saat usianya menginjak kepala dua, sekedar untuk menenangkan diri dari hiruk pikuk kota metropolitan. 

Selama berada di sana Serena tidak pernah merasakan apa-apa walaupun masih bertanya-tanya kenapa kota ini identik sekalian dengan bau bunga melati. Sebenarnya alasannya cukup nyata, sepanjang penglihatan Kota Soeraandaru Jasmijn banyak tanaman bunga melati, sama seperti nama kota ini. 

Tapi konon katanya, melati bukanlah yang menjadi poin utamanya, tapi tentang desas desus keluarga Kedhaton memiliki kekuatan mistis. Masyarakat mengatakan hal itu karena setiap malam satu suro, tidak seorang pun diperbolehkan keluar dari rumah apa pun keadaannya. 

""Cah Ayu, sampun sapisan-pisan medal griya bilih mireng iring-iringan telapak dulu kapal, nggih."" ";https://www.wattpad.com/story/380250260-kedhaton-hadiningrat-%5E-revisi;;;;;;
37;"Your Majesty, I Can't do It!";Elisdisabet;"Romansa, Komedi, Fantasi";"Liora punya segudang cita-cita. Diantara banyaknya keinginan yang ingin ia gapai, masuk ke dunia novel dan jadi pemeran utama adalah hal yang paling ia idam-idamkan.

Walau kedengarannya mustahil. Nyatanya Tuhan mau mengabulkan. Liora di sini. Hidup di dalam novel kesukaannya yang berjudul The Only One. 

Tapi masalahnya...

""Bangke! Bukan nya jadi pemeran utama malah jadi pembantu. Ini seriusan aku diginiin?""

Bayangkan saja, Liora yang dikutuk menjadi anak perempuan satu-satunya di keluarga kaya raya. Sekarang harus menerima nasib menjadi pesuruh. Belum genap penderitaan, Liora menyadari ia adalah salah satu maid yang melayani Kaisar gila. Sosok antagonis yang terobsesi pada pemeran utama wanita.

""Tuhan, ini bisa di cancel nggak? Aku mau balik jadi anak Papa lagi. Please, passion ku nggak cocok jadi babu.""

Mau tidak mau Liora harus menerima. Yang jadi pertanyaan, sampai kapan Liora bertahan? Sedang ia sudah mengantongi ending cerita yang tidak menguntungkan. Hanya akan ada lautan darah di sini. Tak elak, Liora akan menjadi salah satu korban dari kebengisan tiran itu. 

Kabur adalah satu-satunya jalan. Tapi kok...

""Sial! Di sini aku terlahir miskin.""

Jadi Liora harus bertahan. Ia bertekad akan mengumpulkan uang dan pergi secepatnya. ";https://www.wattpad.com/story/402609199-your-majesty-i-can%27t-do-it;;;;;;
38;I just want to die;Lifeistress;"Aksi, Komedi, Fantasi";"Kael tidak pernah percaya pada takdir-apalagi fiksi. Tapi setelah mendengar temannya meracau tentang sebuah novel fantasi buruk berjudul ""Chronicles of the Crown"", ia justru terbangun di dunia itu. Parahnya lagi, ia berada dalam tubuh Kevalen Kazharia-seorang tokoh minor yang dicap pengkhianat dan ditakdirkan mati di usia 28 tahun.
  
  Sebuah sistem aneh muncul, memberi satu penjelasan: ""Jika kau ingin kembali ke duniamu, maka kau harus mati.""
  Tapi setiap kali ia mencoba mengakhiri hidupnya, nasib malah memelintir keadaan: ia menyelamatkan seorang anak, menggagalkan kudeta, menyatukan kerajaan, dan kini... dianggap sebagai harapan umat manusia.
  
  Dengan waktu yang terus berdetik menuju tanggal kematiannya, Kael-yang kini menjadi Kevalen-berusaha mempercepat akhir. 
  
  ""Aku hanya ingin mati!! Kenapa susah bangeet?!!!!!""";https://www.wattpad.com/story/394765696-i-just-want-to-die;;;;;;
39;JOJO;anakksleeeebewwwww;"Horor, Humor, Misteri, Religi";"Seorang remaja laki-laki bernama  Jo memiliki perbedaan fisik yang mencolok  dari saudaranya yang lain. Entah karena perbedaan fisik itu membuat sang kakek begitu membencinya. Diawali dengan pertemuannya dengan seorang anak kecil, yang membuatnya memiliki kemampuan pada indra keenamnya, terungkaplah apa yang menjadi motif kebencian itu muncul.Kesabaran, pengorbanan dan ketulusan hati  Jo akankah mampu untuk meluluhkan hati kakeknya? Ikuti kisah nya JOJO .";https://www.wattpad.com/story/376625524-jojo;;;;;;
40;Back to Begin Again;aprillyvipi;"Romansa, Humor, Waktu";"Rain merasa hidupnya hancur setelah menikah dengan Travis, pria yang sejak dulu ia kejar mati-matian. Pernikahan mereka dingin tanpa cinta, dan semua pengorbanannya terasa sia-sia. Dendam pada Maria, saudara tirinya, membuat Rain buta hingga rela merebut kebahagiaan orang lain. Namun kebencian itu justru menyeretnya pada akhir yang tragis.

Di malam terakhirnya, saat Rain ditikam dengan kejam. Travis hanya berdiri diam di sisi Maria, membiarkan nyawanya terkuras habis. Dalam detik-detik terakhir, Rain menyesali kebodohannya. Ia berjanji, jika semesta memberinya kesempatan kedua, ia akan hidup tanpa dendam dan memperbaiki segalanya.

Dan entah bagaimana, semesta mendengar sumpah itu. Saat membuka mata, Rain mendapati dirinya kembali ke usia 17 tahun, tepat sebelum semua keputusan keliru itu dimulai.

Kesempatan kedua kini ada di tangannya. Namun akankah ia benar-benar bisa mengubah nasib, atau justru terjerumus pada jalan yang sama?";https://www.wattpad.com/story/402165090-back-to-begin-again;;;;;;
41;Rantai Obsesi;Lampumalam3;"Mafia, Misteri, Thriller";"Dulu, dia adalah sosok yang kuat tegas, berkuasa, dan tak tersentuh. Tapi segalanya berubah ketika keluarganya membalas semua perbuatannya. Bertahun-tahun disiksa, dikurung, dan dilupakan, dia kehilangan segalanya kekuatan, harga diri, bahkan keinginannya untuk hidup.

Namun, ketika siksaan itu berhenti, dia tidak mendapatkan kebebasan. Justru, keluarganya mulai memperlakukannya dengan cara yang lebih mengerikan dengan obsesi yang tak terjelaskan.

Dia ingin lari, tapi rantai yang mengikatnya terlalu kuat. Setiap langkah menjauh justru membuatnya semakin tergantung. Ketika orang luar mulai ikut terobsesi dengannya, satu hal menjadi jelas: dia tidak akan pernah benar-benar bebas.

SEBERAPA JAUH SESEORANG BISA BERTAHAN SEBELUM AKHIRNYA MENYERAH PADA TAKDIR?";https://www.wattpad.com/story/391867405-rantai-obsesi;;;;;;
42;Darling Watch Me Win (Repost);Hossana222;"Romansa, Fantasi, Humor";"Aveline mati sebagai antagonis, dihujat karena cinta yang buta dan obsesif pada Davian. Namun saat terbangun lima tahun sebelum segalanya hancur, ia memutuskan untuk tidak lagi mengejar pria yang tak pernah mencintainya.

Cantik, kaya, dan berbakat, kali ini Aveline ingin hidup untuk dirinya sendiri. Dan jika ada pria yang membuatnya tertarik, itu adalah Leonhart Alvaro. Dia satu-satunya orang di kehidupan lalu yang menawarkan bantuan saat yang lain justru berlomba-lomba membunuhnya dengan kata-kata.

Namun semakin ia memperbaiki hidup, semakin ia sadar, selama ini bukan dia antagonisnya. Ada musuh dalam selimut. Dan jika dia tidak menumbangkan mereka, kisah tragisnya bisa saja terulang.";https://www.wattpad.com/story/394334447-darling-watch-me-win-repost;;;;;;
43;JUDAS;Ezra san;"Romansa, Mafia";"Isabella Blair dapat bebas bersyarat dari penjara, Isabella diharuskan mengikuti perintah dari seseorang yang mengaku sebagai detektif bernama Killian, detektif itu mengirim Isabella bekerja sebagai Stripper di rumah hiburan bernama Devil's Allure.

Rumah hiburan milik ketua mafia yang sudah jadi incaran polisi sejak lama namun tak kunjung berhasil dijerat, Isabella pikir tugasnya mudah, hanya perlu mencari bukti yang bisa membuktikan kejahatan Judas si ketua mafia namun semua tidak semudah Isabella bayangkan.

Judas sangat sulit untuk dibodohi, dan yang lebih parahnya lagi Isabella bukanlah wanita pertama yang Killian kirim, Killian sudah mengirim banyak wanita namun semuanya telah mati di tangan Judas tanpa meninggalkan bukti yang bisa memberatkan Judas.

Isabella mungkin juga akan bernasib sama, kecuali ia bisa merubah nasibnya dengan cara berpura-pura jatuh cinta pada Judas yang kejam dan sering memperlakukan Isabella bagai properti.
";https://www.wattpad.com/story/334820418-2a-judas-end;;;;;;
44;Maybe I Was Meant to Save You;vallen1007;"Romansa, Fantasi";"Caroline tak pernah menyangka candaan recehnya akan menjadi kenyataan.

Harapan sesaatnya melempar ia kedalam sebuah novel kisah cinta klasik. Bukan jadi tokoh utama, bukan juga si pemeran jahat, tapi figuran yang bahkan tak pernah disebut namanya.

Tapi siapa bilang figuran tak akan punya peran penting?

Dengan tubuh anak kecil dan misi absurd untuk ""menyelamatkan second male lead dari takdir kelamnya,"" Caroline bertekad untuk membuat dunia kelam bagi second malelead yang dulu cuma ada di halaman buku jadi sedikit lebih hangat.

Dan mungkin... sambil tak sadar, dia juga menyembuhkan dirinya sendiri.";https://www.wattpad.com/story/402856831-maybe-i-was-meant-to-save-you;;;;;;
45;End Up With Him;azizahazeha;"Aksi, Romansa, Komedi";"Vira dan Laksa sudah saling mengenal sejak lama, keduanya harus menikah karena sebuah insiden. Pekerjaan Laksa yang seorang artis membuat keduanya harus menyembunyikan pernikahan mereka.

***

Vira Saladin sangat membenci Laksamana Hadi Aji yang merupakan aktor laga terkenal. Hubungan pertemanan mereka kacau akibat sebuah insiden di masa remaja. 
Lalu karena sebuah kontrak pekerjaan, Vira terpaksa kembali menjalin komunikasi dengan Laksa dan menawarkannya menjadi bintang iklan produk dari perusahaan Om nya.

Farel, kekasih Vira yang juga bekerja di kantor yang sama dengannya berselingkuh. Vira memergoki Farel tengah bercumbu dengan teman satu divisinya sendiri. Karena hal itu, Farel memasukkan obat ke dalam minuman Vira di sebuah acara. 

Laksa mengetahui rencana jahat Farel. Didorong rasa ingin melindungi, dia mencoba menyelamatkan Vira. Namun karena hal itu juga dia menjadi terjebak ke dalam sebuah insiden yang membuatnya harus bertanggung jawab.";https://www.wattpad.com/story/212025478-end-up-with-him-selesai;;;;;;
46;Ketika Nyata Terlalu Pahit;arciian;"Horor, Misteri";"Menceritakan Sabiru Eliano Marel, seorang anak laki-laki ceria dan penuh humor, yang hidupnya berubah total setelah ia menerima rentetan kenyataan pahit dalam hidupnya: pengkhianatan yang dilakukan oleh salah satu anggota keluarganya, serta kehilangan orang yang berarti dalam hidupnya, memaksanya tumbuh lebih cepat dibandingkan teman seusianya.

Setiap perjalanan, kesedihan, kemarahan, rasa bersalah, dan kekecewaan terus menghantuinya.";https://www.wattpad.com/story/404494149-ketika-nyata-terlalu-pahit;;;;;;
47;SI PEMALAS MENJADI ANTAGONIS;Tryingto_lovemyself;"Romansa, Fantasi, Humor";"Ini adalah cerita Ranalla. Gadis yang menunggu rumah yang tadinya seperti kadang babi, berubah menjadi tempat pembuangan sampah, Sebelum akhirnya membersihkan rumah. 

Bagaimana jika Ranalla yang pemalas ini, merasuki tubuh Tokoh Antagonis?. Bisakah Ranalla menjalani perannya sebagai Tokoh Novel, atau malah menyibukan diri dengan kasur tercintanya?. 

""Padahal gue cuma tidur doang. Bukan ketabrak mobil, atau ngelakuin hal konyol kaya makan rinso, atau minum liquid sampe harus transmigrasi.""";https://www.wattpad.com/story/397766312-si-pemalas-menjadi-antagonis;;;;;;
48;TRANSMIGRASI SANG KETUA;Wiwi Ramadani;"Misteri, Thriller, Fantasi, Mafia, Aksi";"Setelah kalah dalam pertarungan terakhirnya, Stella mengira hidupnya sudah berakhir. Namun, saat membuka mata, ia bukan lagi dirinya sendiri-melainkan Liona Hazel Elnara, gadis yang dibenci keluarganya dan sudah lama kehilangan alasan untuk hidup. Stella yang dulu berjuang mati-matian untuk bertahan kini terjebak dalam tubuh seseorang yang menginginkan kematian.
";https://www.wattpad.com/story/371926230-transmigrasi-sang-ketua;;;;;;
49;Garis Samar;Your_Hilal;"Romansa, Religi, Komedi";"Ciara Savia, gadis 20 tahun yang dinikahkan dengan pria 34 tahun (bukan duda). Beda 14 tahun. Buset, itu gap usia atau kesenjangan ekonomi di Indonesia? Jauh bener.

Mau dibilang pernikahan ideal? Bukan.
Mau dibilang toxic? Juga bukan.

Calon mahasiswi hukum, menikah dengan letnan kolonel Kopassus yang lebih sering berurusan dengan senjata daripada negosiasi di meja kerja. 

Ciara masih sibuk memahami hukum negara, sementara Pramudya sudah tahu bahwa hukum bisa dibengkokkan dengan uang dan kuasa.

Mau diakhiri, tapi Ciara punya prinsip ""Mati sekali, hidup di dunia sekali, jatuh cinta sekali, menikah juga harus sekali. Meski pernikahan ini berawal dari konspirasi, cerai bukanlah solusi.""

Jadi, gimana, nih?
";https://www.wattpad.com/story/385691196-garis-samar-selesai;;;;;;
50;Operation Heart;messylittlecat;"Romansa, Komedi";"Setelah berhasil tembus program residensi, cita-cita Clara tinggal satu: menikah sebelum umur tiga puluh. 

Akan tetapi, sepertinya titel residen tahun pertama dan cita-citanya bukan kombinasi yang baik, terutama setelah ditolak terang-terangan oleh spesialis yang ia jadikan target 'operasi'.

Kalau hidupnya selama koas sudah jadi lantai alias diinjak-injak sebagai kasta paling bawah di rumah sakit, hidupnya sebagai residen tahun pertama itu ibarat naik sedikit jadi keset-bukan keset premium, tapi keset murah yang nggak ada harganya. Ada di atas lantai, tapi masih dipakai buat ngelap kaki, disiram air kotor, atau digebuk pakai sapu lidi.

Kini, dengan cita-cita yang terancam bahaya, Clara harus segera menemukan target baru. Beruntungnya (atau sialnya?), ia tahu siapa yang bisa jadi target selanjutnya: psikolog ganteng pemilik kafe depan rumah sakit, Dirga.

Akankah ""operasi hati"" Clara kali ini membuahkan hasil yang tidak disangka, ataukah ia hanya akan mengulangi prosedur patah hati yang sama? Lebih dari itu, mampukah Clara tidak kehilangan dirinya ketika memutuskan untuk bersama dengan Dirga?";https://www.wattpad.com/story/395736041-end-operation-heart;;;;;;
51;Polos? Lah Pemain Nih Boss!;MyAororaLisa;Komedi;"Brothership/Family 

Leno Alvares itu miskin. Orangnya tuanya telah tiada hingga membuat menjadi susah untuk bertahan hidup.

Namun karena dia memiliki wajah yang begitu imut, ia memanfaatkan wajahnya itu agar bisa membuat orang-orang membantu kehidupan sehari-hari.

Dia berpura-pura polos agar bisa memikat hati banyak orang. 

Hingga Leno membuat suatu rencana agar bisa mendekati orang kaya untuk bisa menipu mereka dan membuat mereka luluh padanya dengan berpura-pura polos.

Sayangnya Leno tidak berpikir bahwa keluarga yang di dekatinya malah begitu terobsesi padanya. Belum lagi ternyata ada yang mencoba untuk menyingkirkannya.

* * *

""Tolongin!! Gua nggak polos, semuanya tipu-tipu om! Pulangin gua! Mau pulang!!""

""Baby, kau milik kami sekarang ~~""

""Tidak!!""";https://www.wattpad.com/story/398515726-polos-lah-pemain-nih-boss;;;;;;
52;Senandung Azalea;khairunnisa;Romansa;"Ia terdiam sejenak menatapku, lalu bertanya, ""Can we be friends?""

Aku tak tahu harus menjawab apa. Seorang suami meminta istrinya untuk menjadi teman? Apakah ini permainan Azkaa? Kalau benar begitu, lucu juga. Kurasa aku akan mengikuti permainannya.

***

Memiliki trauma masa lalu akibat kecelakaan yang menewaskan kedua orang tuanya, Azalea harus bertahan hidup seorang diri. Saat mulai membenahi mental dan kehidupannya, Azalea justru harus menjalani pernikahan tanpa cinta dengan Azkaa.

Azalea dan Azkaa harus menjalani pernikahan yang tak mereka inginkan. Hubungan mereka yang rumit menjadi semakin pelik dengan kehadiran Ilona, mantan kekasih Azkaa. Lalu, ada Barata yang mengharapkan cinta Azalea.

""Don't fall in love with me,"" ucap Azkaa suatu kali.

Azalea dan Azkaa berpikir semua akan berjalan singkat dan mereka akan segera berpisah. Namun, semua menjadi lika-liku yang membingungkan saat perasaan mulai terlibat. Belum lagi, kisah masa lalu Azalea yang kembali datang menghampiri hidupnya.

Akankah kisah mereka menjadi elegi dengan gigil yang tak mau pergi? Atau berakhir menjadi senandung dengan cinta yang tak terbendung?";http://wattpad.com/story/255868990-senandung-azalea-completed;;;;;;
53;Sanggar Tanpa Pulang;SASA;"Horor, Misteri";"Sanggar Kesenian Giri Swarna selama puluhan tahun dikenal sebagai tempat latihan tari tradisional hingga serangkaian kejadian ganjil mengubahnya menjadi ruang penuh tanda tanya. Pipin dan Tian, dua anggota muda yang memiliki kemampuan melihat hal-hal tak kasat mata mulai menyadari bahwa sanggar tersebut menyimpan sejarah yang tidak pernah dicatat. Bayangan penari muncul tanpa tubuh, gamelan berbunyi tanpa pemain, dan topeng-topeng tua bergerak seolah memiliki nyawa sendiri.

Saat salah satu anggota menghilang dan sebuah topeng baru muncul dengan nama Pipin terukir di dalamnya keduanya dipaksa mengungkap kebenaran yang disembunyikan selama lima puluh tahun. Mereka menemukan bahwa sanggar dibangun di atas tempat peristirahatan seorang anak yang tidak pernah dipulangkan melalui ritual terakhir, ketika gerbang antara dua dunia mulai terbuka Pipin dan Tian harus memutuskan apakah mereka sanggup menghentikan tarian yang tidak pernah selesai-atau menjadi bagian darinya untuk selamanya.

Sanggar Tanpa Pulang menghadirkan kisah horor bernuansa budaya, di mana tradisi, kesenian, dan masa lalu yang terlupakan saling terkait dalam satu pertanyaan : ""siapa yang sebenarnya dipilih untuk tetap tinggal?""";https://www.wattpad.com/story/404441719-sanggar-tanpa-pulang;;;;;;
54;Repeating Time;Zaenuna;"Fantasi, Waktu";"Kematian orang yang ia cintai, membuat Nara terpuruk. Apalagi gadis itu menganggap bahwa sifat buruknya lah yang menyebabkan kematian orang yang cintainya.

Setelah mengistirahatkan diri selama sepekan, Nara akhirnya masuk sekolah kembali. Itupun berkat paksaan sang ibu dan temannya. 

Namun naasnya sebelum memasuki gerbang sekolah, gadis itu kecelakaan didepan sekolahnya sendiri, hingga sekujur tubuhnya terasa remuk. Bukannya takut akan kematian, Nara justru bersyukur ajal menjemputnya.

Mungkin Tuhan berbaik hati kepadanya dengan memberikan kesempatan kedua padanya. Setelah mengalami kecelakaan fatal itu, Nara hidup kembali.

Tapi anehnya, Nara tidak terbangun dirumah sakit, dengan infus ditangan, melainkan ia hidup kembali pada saat pertama kali ia bertemu dengan orang yang ia cintai.";https://www.wattpad.com/story/294504626-repeating-time;;;;;;
55;Axevelia is Devil;asnaaa27;"Aksi, Mafia, Thriller, Misteri";"Hidup penuh dengan makian dan mendapatkan kekerasan dari orang tuanya membuat Veli tumbuh menjadi gadis yang kejam dan pendendam. Kehidupan nya yang gelap itu membuat Veli masuk ke dunia bawah hingga membuat kelompok pembunuh bayaran yang memiliki aura gelap dan sadis.

Gadis yang tidak mengetahui siapa orang tuanya selalu mendapatkan cacian di sekolahnya. Hingga akhirnya Veli di adopsi oleh keluarga kaya raya yang ternyata memiliki sebuah kelompok mafia yang bernama Lion Dark.

Hidupnya sedikit berwarna saat Veli memiliki teman sebangku bernama Alrez yang selalu mengganggu kehidupan nya. Tidak ada satu orang pun yang tahu bahwa Alrez adalah seorang psikopat yang amatir, pemuda itu begitu pandai menutupi indentitas nya.

Hingga akhirnya ia menemukan sebuah fakta mengejutkan yang membuat ikut merasakan kegilaan yang sulit di terima dari permasalahan orang dewasa. Akan kah Veli dapat membalaskan dendamnya dan bertahan untuk menghentikan kejahatan seseorang?";https://www.wattpad.com/story/376590433-axevelia-is-devil;;;;;;
56;Suami Satu Semester;Nova Juliana Putri;"Humor, Romansa";"Nikah?

Sama dosen pembimbing skripsi sendiri? 

Apa jadinya? 

Untung atau malah bunting eh buntung? 

Hanya kisah tentang mahasiswa semester akhir 
yang tengah diburu deadline menulis skripsi. Terpaksa menikah dengan dosen pembimbing skripsinya sendiri. 

Entah musibah atau malah berkah, Junia Zefanya Azahra harus menggantikan sang kakak duduk di sebelah seorang pria asing untuk melaksanakan ijab kabul pernikahan. Pria bernama Nugraha Desrouleaux Malik, yang tidak lain adalah dosen pembimbing skripsinya sendiri. 

""Saya akan bantu menyelesaikan skripsi kamu, dengan satu syarat""

""Yaelah pake syarat-syaratan segala. Dikira saya seneng gitu kawin sama bapak. Ck ok. Apa syaratnya?""

""Pernikahan ini hanya berlangsung selama satu semester kuliah kamu""

""What??!!""

========== 

Bagaimanakah kisah pernikahan mahasiswi dan dosen ini? Apakah akan benar berlangsung hanya satu semeter? Atau berlanjut seperti layaknya pernikahan pada umumnya?";https://www.wattpad.com/story/75757123-suami-satu-semester-sudah-terbit;;;;;;
